ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
80,SBST,1,TRUNK,67009,14009,09-14,10-16,13-15,18-19,
80,SBST,2,TRUNK,14009,67009,09-13,10-18,14-18,16-18,
800,SBST,1,FEEDER,59009,59009,06-08,06-08,06-08,07-09,Sembawang Rd
803,SBST,1,FEEDER,59009,59009,06-08,05-08,05-08,04-09,Yishun Ave 6
804,SBST,1,FEEDER,59009,59009,05-07,04-06,04-06,05-09,Yishun Ave 11
805,SBST,1,FEEDER,59009,59009,06-06,07-09,06-08,06-10,Yishun Ave 1
806,SBST,1,FEEDER,59009,59009,03-04,04-06,03-05,03-11,Yishun Ave 6
807,SBST,1,FEEDER,59009,59009,03-06,03-07,03-05,04-13,Yishun Ave 5
807A,SBST,1,FEEDER,59009,59569,05-12,04-06,-,-,
807B,SBST,1,FEEDER,59009,59309,05-06,-,-,-,
80A,SBST,1,TRUNK,67009,81089,09-34,12-24,-,-,
81,SBST,1,TRUNK,75009,75009,10-11,08-11,08-15,13-17,S'goon Ctrl
811,SBST,1,FEEDER,59009,59009,04-06,04-06,04-07,05-07,Yishun Ave 5
811A,SBST,1,FEEDER,59009,59159,-,-,04-32,-,Sembawang Rd
811T,SBST,1,FEEDER,59009,59009,-,-,-,07-08,Yishun Ave 5
812,SBST,1,FEEDER,59009,59009,05-08,05-08,06-09,05-12,Yishun Ave 4
812T,SBST,1,FEEDER,59009,59009,-,-,-,10-10,Yishun Ave 4
850E,SBST,1,EXPRESS,59581,03218,05-08,-,-,-,
850E,SBST,2,EXPRESS,03222,59579,-,-,15-15,-,
851,SBST,1,TRUNK,59009,10009,07-09,07-12,07-13,12-13,
851,SBST,2,TRUNK,10009,59009,08-10,09-12,08-10,07-13,
851e,SBST,1,EXPRESS,59009,05019,30-30,30-30,-,-,
851e,SBST,2,EXPRESS,05012,59009,-,30-30,30-30,30-30,
852,SBST,1,TRUNK,59009,43009,11-15,13-15,14-15,14-15,
852,SBST,2,TRUNK,43009,59009,11-14,11-15,12-15,14-15,
86,SBST,1,TRUNK,67009,54009,07-10,10-13,09-12,11-23,
86,SBST,2,TRUNK,54009,67009,10-14,09-13,10-13,10-25,
860,SBST,1,TRUNK,55509,55509,10-14,12-15,09-12,10-18,Yishun Ave 2
860T,SBST,1,TRUNK,55509,59009,-,-,-,12-13,Yishun Ave 2
86A,SBST,1,TRUNK,68119,55189,08-35,-,-,-,
86B,SBST,1,TRUNK,55181,68111,-,-,11-32,-,
87,SBST,1,TRUNK,67009,84009,05-07,04-16,05-08,05-17,
87,SBST,2,TRUNK,84009,67009,05-07,05-13,04-13,15-18,
